2026-09-06 16:48:53,706 | INFO | hr_assistant.evaluation | Creating dataset 'hr-policy-qna' with 10 example(s)
2026-09-06 16:48:54,828 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-06 16:48:54,829 | INFO | hr_assistant.tracing | LangSmith tracing ENABLED - project 'Advanced RAG', traces at https://smith.langchain.com
2026-09-06 16:48:54,830 | INFO | hr_assistant.pipeline | Building vector store for documents at data\hr_policy.txt...
2026-09-06 16:48:54,831 | INFO | hr_assistant.vector_store | Checking if Qdrant vector store exists...
2026-09-06 16:48:55,730 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/exists "HTTP/1.1 200 OK"
2026-09-06 16:48:55,735 | INFO | hr_assistant.pipeline | Vector store already exists. Skipping creation.
2026-09-06 16:48:55,735 | INFO | hr_assistant.vector_store | Loading Qdrant vector store ...
2026-09-06 16:48:55,736 | INFO | hr_assistant.embeddings | Creating embeddings using model: jina-embeddings-v2-base-en...
2026-09-06 16:48:55,736 | INFO | hr_assistant.embeddings | Embeddings created successfully.
2026-09-06 16:48:55,736 | INFO | hr_assistant.vector_store | Qdrant vector store loaded.
2026-09-06 16:48:55,768 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 16:48:56,600 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection "HTTP/1.1 200 OK"
2026-09-06 16:48:56,605 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 16:49:03,390 | INFO | hr_assistant.vector_store | Getting retriever from FAISS vector store with top_k=5...
2026-09-06 16:49:03,391 | INFO | hr_assistant.llm | Initializing LLm via PortKey...
2026-09-06 16:49:06,755 | INFO | hr_assistant.gateway | ChatOpenAI instance created with Portkey gateway.
2026-09-06 16:49:06,756 | INFO | hr_assistant.llm | ChatGroq model initialized successfully.
2026-09-06 16:49:06,776 | INFO | hr_assistant.agent | Creating HR agent...
2026-09-06 16:49:06,887 | INFO | hr_assistant.vector_store | Loading Qdrant vector store ...
2026-09-06 16:49:06,888 | INFO | hr_assistant.embeddings | Creating embeddings using model: jina-embeddings-v2-base-en...
2026-09-06 16:49:06,889 | INFO | hr_assistant.embeddings | Embeddings created successfully.
2026-09-06 16:49:06,889 | INFO | hr_assistant.vector_store | Qdrant vector store loaded.
2026-09-06 16:49:07,822 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 16:49:07,842 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection "HTTP/1.1 200 OK"
2026-09-06 16:49:08,529 | INFO | hr_assistant.vector_store | Getting retriever from FAISS vector store with top_k=5...
