2026-09-06 16:51:29,825 | INFO | hr_assistant.evaluation | Dataset 'hr-policy-qna' already exists, reusing it
2026-09-06 16:51:30,157 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-06 16:51:30,158 | INFO | hr_assistant.tracing | LangSmith tracing ENABLED - project 'Advanced RAG', traces at https://smith.langchain.com
2026-09-06 16:51:30,158 | INFO | hr_assistant.pipeline | Building vector store for documents at data\hr_policy.txt...
2026-09-06 16:51:30,160 | INFO | hr_assistant.vector_store | Checking if Qdrant vector store exists...
2026-09-06 16:51:31,356 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/exists "HTTP/1.1 200 OK"
2026-09-06 16:51:31,363 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 16:51:31,366 | INFO | hr_assistant.pipeline | Vector store already exists. Skipping creation.
2026-09-06 16:51:31,377 | INFO | hr_assistant.vector_store | Loading Qdrant vector store ...
2026-09-06 16:51:31,379 | INFO | hr_assistant.embeddings | Creating embeddings using model: jina-embeddings-v2-base-en...
2026-09-06 16:51:31,381 | INFO | hr_assistant.embeddings | Embeddings created successfully.
2026-09-06 16:51:31,381 | INFO | hr_assistant.vector_store | Qdrant vector store loaded.
2026-09-06 16:51:32,410 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 16:51:32,420 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection "HTTP/1.1 200 OK"
2026-09-06 16:51:33,157 | INFO | hr_assistant.vector_store | Getting retriever from FAISS vector store with top_k=5...
2026-09-06 16:51:33,158 | INFO | hr_assistant.llm | Initializing LLm via PortKey...
2026-09-06 16:51:35,139 | INFO | hr_assistant.gateway | ChatOpenAI instance created with Portkey gateway.
2026-09-06 16:51:35,140 | INFO | hr_assistant.llm | ChatGroq model initialized successfully.
2026-09-06 16:51:35,144 | INFO | hr_assistant.agent | Creating HR agent...
2026-09-06 16:51:35,161 | INFO | hr_assistant.vector_store | Loading Qdrant vector store ...
2026-09-06 16:51:35,161 | INFO | hr_assistant.embeddings | Creating embeddings using model: jina-embeddings-v2-base-en...
2026-09-06 16:51:35,162 | INFO | hr_assistant.embeddings | Embeddings created successfully.
2026-09-06 16:51:35,162 | INFO | hr_assistant.vector_store | Qdrant vector store loaded.
2026-09-06 16:51:36,057 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 16:51:36,082 | INFO | httpx | HTTP Request: GET https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection "HTTP/1.1 200 OK"
2026-09-06 16:51:36,730 | INFO | hr_assistant.vector_store | Getting retriever from FAISS vector store with top_k=5...
2026-09-06 16:51:36,740 | INFO | hr_assistant.evaluation | Running evaluation against dataset 'hr-policy-qna'
2026-09-06 16:51:40,373 | INFO | hr_assistant.pipeline | Asking question to HR agent: What is the standard notice period for resignation?
2026-09-06 16:51:41,002 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:42,693 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:42,956 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:44,292 | INFO | httpx | HTTP Request: POST https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/points/query "HTTP/1.1 200 OK"
2026-09-06 16:51:45,121 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:46,070 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:46,077 | INFO | hr_assistant.pipeline | Asking question to HR agent: How many days of unused annual leave can be carried forward?
2026-09-06 16:51:46,296 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:46,776 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:46,999 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:47,678 | INFO | httpx | HTTP Request: POST https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/points/query "HTTP/1.1 200 OK"
2026-09-06 16:51:48,405 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:49,274 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
